time,open,high,low,close,tick_volume,tick_volume,spread
2025-09-04 17:00:00+00:00,3546.0,3546.86,3543.82,3546.35,808,0,10
2025-09-04 17:05:00+00:00,3546.33,3549.02,3546.19,3548.39,745,0,6
2025-09-04 17:10:00+00:00,3548.61,3549.04,3546.82,3546.9,664,0,7
2025-09-04 17:15:00+00:00,3546.9,3548.7,3546.33,3547.69,620,0,9
2025-09-04 17:20:00+00:00,3547.7,3548.15,3544.45,3544.55,683,0,1
2025-09-04 17:25:00+00:00,3544.55,3545.18,3542.41,3544.06,594,0,6
2025-09-04 17:30:00+00:00,3544.06,3548.01,3544.06,3547.02,602,0,6
2025-09-04 17:35:00+00:00,3547.01,3548.34,3545.29,3548.28,579,0,10
2025-09-04 17:40:00+00:00,3548.33,3550.6,3548.13,3550.03,669,0,3
2025-09-04 17:45:00+00:00,3550.03,3551.79,3549.97,3550.81,650,0,6
2025-09-04 17:50:00+00:00,3550.8,3552.45,3550.22,3552.25,571,0,3
2025-09-04 17:55:00+00:00,3552.26,3553.27,3551.8,3552.87,531,0,8
2025-09-04 18:00:00+00:00,3553.1,3554.82,3552.91,3552.97,624,0,11
2025-09-04 18:05:00+00:00,3552.87,3553.51,3551.86,3553.06,587,0,1
2025-09-04 18:10:00+00:00,3553.07,3554.15,3552.01,3553.96,548,0,7
2025-09-04 18:15:00+00:00,3553.97,3554.82,3553.68,3554.34,529,0,1
2025-09-04 18:20:00+00:00,3554.38,3556.21,3551.45,3552.72,603,0,2
2025-09-04 18:25:00+00:00,3552.72,3553.94,3551.7,3553.11,575,0,1
2025-09-04 18:30:00+00:00,3553.14,3554.72,3552.23,3553.44,618,0,9
2025-09-04 18:35:00+00:00,3553.46,3554.74,3552.31,3552.45,533,0,9
2025-09-04 18:40:00+00:00,3552.46,3553.76,3552.13,3552.14,553,0,1
2025-09-04 18:45:00+00:00,3552.02,3552.8,3549.55,3549.89,546,0,8
2025-09-04 18:50:00+00:00,3549.86,3552.68,3549.43,3552.56,548,0,1
2025-09-04 18:55:00+00:00,3552.55,3552.97,3551.84,3552.67,525,0,1
